text,date,sentiment,Detected Language,Confidence,summary,Event-Related Summary
"Sister girl who hosted the kaleidoscope has a very soft voice, it hurts my ears whenever she speaks",1/1/24,Neutral,English,0.5008052587509155,"Sister girl who hosted the kaleidoscope has a very soft voice, it hurts my ears whenever she speaks.",-
"Hi fellow Lasallians??
See you sa students week because we have ?ANIK-ANIKS? for you!!
KitkatCrochets x Berrycrochet x Gantsilyerista 
We will be at the following venues:
NOV 11-16 STUDENTS WEEK JFH KUBO
NOV 14 FALCO-PALOOZA TRACK OVAL 
NOV 15 KALEIDOSCOPE TRACK OVAL",1/2/24,Positive,English,0.62989342212677,"KitkatCrochets x Berrycrochet x Gantsilyerista will be at the following venues: JFH KUBO, FALCO-PALOOZA TRACK OVAL, KALEIDOSCOPE.",-
Stray dogs spotted today at kaleidoscope ,1/4/24,Positive,English,0.6637124419212341,Stray dogs spotted today at kaleidoscope in New York City. Stray dogs also spotted at New York's Central Park and Times Square.,-
"Freedom wall peeps, help a girlie find the orange wigged cosplayer (sorry idk who you were cosplaying ??) kaninang kaleidoscope????",1/9/24,Negative,English,0.934169352054596,Help a girlie find the orange wigged cosplayer (sorry idk who you were cosplaying?).,-
"helping the one I'm courting, maybe someone found/picked up a crocheted boob in the oval during the kaleidoscope please return it",1/12/24,Negative,English,0.6119702458381653,"A crocheted boob was found in the oval during the kaleidoscope. If you found it, please return it.",-
makakabili parin po ba ako ng merch ng cics kahit di ako bumili ng tix sa kaleidoscope? huhu no money na kasi pero gusto ko bumili ng lanyard and keyring nyo po :((,1/6/24,positive,Tagalog,0.9679967761039734,Makakabili parin po ba ako ng merch ng cics kahit di ako bumili ng tix sa kaleidoscope? huhu no money na kasi pero gusto ko bumili.,-
"hello late na pero nakaka disappoint talaga yung mga nasa registration/claiming ng cisc sg para sa tix ng kaleidoscope, hindi approachable at ang susungit lalo na yung nasa claiming table
nakakaloka di na nga clear yung instructions kase ang hina ng boses nila tapos sila pa magsusungit",1/10/24,positive,Tagalog,0.9842686653137208,Nakakaloka di na nga clear yung instructions kase ang hina ng boses nila tapos sila pa magsusungit. hello late na pero nakaka disappoint talaga.,-
"shout out po sa mga nag iwan ng kalat nila sa kaleidoscope kanina, sana naman lininis niyo kalat niyo after ",1/11/24,positive,Tagalog,0.8568706512451172,"shout out po sa mga nag iwan ng kalat nila sa kaleidoscope kanina, sana naman lininis niyo kal at niyon after.",-
"hala magbabasaan po pala sa CHROMA BLAST ng ceatsg? sana po mas naging malinaw, sana nag CLAChella nalang ako or Kaleidoscopes.",4/5/24,positive,Tagalog,0.9481900334358216,"Sana po mas naging malinaw, sana nag CLAChella nalang ako or Kaleidoscopes. hala magbabasaan po pala sa CHROMA BLAST.",-
"No one mentioning DLSUD Chorale, so I will! DLSUD Chorale are so freaking amazingg noong kaleidoscope!!",1/3/24,neutral,Taglish,0.5726587772369385,"DLSUD Chorale are so freaking amazingg noong kaleidoscope. No one mentioning DLSUD chorale, so I will.","DLSUD Chorale are so freaking amazingg noong kaleidoscope. No one mentioning DLSUD chorale, so I will."
