text,date,sentiment,Detected Language,Predicted Sentiment,Confidence
HELLO????? DENISE JULIA FOR FLAIR 2025!!!!!!!!!!!!!,1/20/24,,English,Negative,0.6208853721618652
Dionela for FLAIR 2025 ??????,1/22/24,,English,Neutral,0.4485425055027008
SB19 FOR FLAIR PLEASE I AM BEGGING ??,1/24/24,,English,Negative,0.925710916519165
"CUP OF JOE, SUGARCANE, EARL DALANGIN FOR FLAIR PLS PLS ",1/25/24,,English,Positive,0.4605131447315216
LEGEND FOR FLAIR TO HEAR MAHARANI LIVE + LPDC AS BACKGROUND DANCERS/PERFORMERS ?? + DAGUNDONG AAAACK !! ?!! ???,1/26/24,,English,Positive,0.8308443427085876
ALISSON SHORE FOR FLAIR CONCERT 2025 PLEASE,1/28/24,,English,Positive,0.38424843549728394
Sugarfree for flair pls,1/29/24,,English,Neutral,0.546938955783844
"DIONELA IN FLAIR PRETTT PLEAAASE ?? I AM SO CRAZY ABOUT YOUR MARILAG!! ??
 ",2/1/24,,English,Negative,0.8427773714065552
"Eraserheads, Mayonnaise, Silent Sanctuary, Rivermaya, Denise Julia, Niki, Dionela for flair '25 plz ??",2/2/24,,English,Negative,0.4166046679019928
LIL UZI VERT HOPEFULLY FOR FLAIR 2025 HIS NEW ALBUM IS GOOD SHIT,2/4/24,,English,Neutral,0.4717614948749542
"CBAASG, INVITE ZILD, BLASTER, UNIQUE, AND BADJAO TO FLAIR AND MY LIFE IS YOURS",2/5/24,,English,Positive,0.9915408492088318
NIKI Zenfaya and Laufey for Flair 2025,2/6/24,,English,Neutral,0.6978439688682556
TJ MONTERDE FOR FLAIR PLEASEEEE!!!,2/7/24,,English,Positive,0.47311127185821533
"GHR, NIO, Nazty Kidd, Sica, and Waiian for flair plz",2/9/24,,English,Neutral,0.5563430786132812
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,2/11/24,,English,Negative,0.8279445767402649
billie eilish for flair 2025??,2/12/24,,English,Neutral,0.5417240858078003
Dionela 4 flair to feel treated right ,2/14/24,,English,Neutral,0.49304839968681335
ALYSON FOR FLAIR 2025 PLSSS,2/19/24,,English,Neutral,0.6263717412948608
OLIVIA RODRIGO FOR FLAIR 2025 PLEASE,2/25/24,,English,Neutral,0.452591210603714
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,3/4/24,,English,Negative,0.8279445767402649
