text,date,sentiment,Detected Language,Predicted Sentiment,Confidence
"Lf ka date para sa flair 
Requirements:
Nag gguitar 
Vball player (pass na me sa bball player yack redflag)
Grd12
F1 fan (yung matatanggap ako kahit lando fan ako??)
May lahing Japanese
Obsessed sa mukha niya
For the kalog ang personality pero aesthetic sa ig
NIKI lover????
'Yan lang naman guys sana maka find",1/17/24,,Taglish,neutral,0.6753944754600525
ALAMAT FOR FLAIR 2025!!! GUSTO KO MARINIH MAHARANI LIVE!!!6868,1/23/24,,Taglish,neutral,0.4455138146877289
"AESPA FOR FLAIR PLEASE!!!!!!!!!!!!!!!!!!! FINE, FIX IT SO THAT YOU CAN JUST SUGGEST IT'S EVEN UGLY",1/30/24,,Taglish,neutral,0.6530123949050903
"wow, zild is so good, legit I don't listen to him but he's one of the best performers I've watched in ud as someone who watched solfest, flair, juanderland, and kts last year",2/3/24,,Taglish,positive,0.9369140863418579
JOHN CENA FOR FLAIR 2025!,2/8/24,,Taglish,neutral,0.4602774381637573
"Weird mga nag haha react dito lalo for flair lineup lang naman talaga match, unlike sa SOLFEST",2/10/24,,Taglish,neutral,0.7605139017105103
Bugoy na Koykoy for Flair this year?!?!?!?!?,2/15/24,,Taglish,neutral,0.6381452679634094
LEGIT TONEEJAY NG CICS HAHAHAHAHA THANK YOU CICSSG CICS IS THE BEST AKALA KO MAGHIHINTAY PA KO FLAIR EEH,2/16/24,,Taglish,positive,0.9564863443374634
michael jackson po sana sa flair,2/23/24,,Taglish,neutral,0.4699481427669525
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",2/26/24,,Taglish,neutral,0.6892244815826416
"wow, zild is so good, legit I don't listen to him but he's one of the best performers I've watched in ud as someone who watched solfest, flair, juanderland, and kts last year",3/11/24,,Taglish,positive,0.9369140863418579
"Weird mga nag haha react dito lalo for flair lineup lang naman talaga match, unlike sa SOLFEST",3/15/24,,Taglish,neutral,0.7605139017105103
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",3/17/24,,Taglish,neutral,0.6892244815826416
Huh? They cant match flair daw but tbh mas maayos ang d-day ng solfest kesa sa flair? lalo na yung entry sa venue,3/25/24,,Taglish,neutral,0.614660918712616
Not from cbaa and ceat pero to be fair mas feel ko yung concert vibe sa solfest kesa sa flair tho parehas maganda ang line-up its just that parang concert ni mayor ang flair HAHA,3/31/24,,Taglish,neutral,0.7450417876243591
